molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1401841,COc1ccc2nc3cccc(OC)c3nc2c1,inactive,240.262,2.800200000000001,0.0,4.0,4.0
CHEMBL1608853,O=C(O)c1ccc2c(c1)C(=O)/C(=C\c1ccco1)C2=O,inactive,268.224,2.4404000000000003,1.0,4.0,4.909741947068683
CHEMBL1429799,O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1OCC(=O)N1CCOCC1,inactive,407.42600000000033,1.3856,1.0,5.0,4.0
CHEMBL246446,O=C(O)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,inactive,306.27700000000004,3.8480000000000016,1.0,5.0,4.292685366411292
CHEMBL1383455,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3n2C)c(Cl)c1=O,inactive,372.7720000000001,2.36698,0.0,8.0,4.0
CHEMBL1485159,C[n+]1c2ccccc2nc2ccc(NCCO)cc21.[O-][Cl+3]([O-])([O-])[O-],inactive,353.76200000000006,-3.1392999999999978,2.0,7.0,4.729554091982037
CHEMBL1383611,C=CCOc1c(Br)cc(/C=C2/C(=O)ON=C2C)cc1OC,inactive,352.1840000000001,3.3386000000000022,0.0,5.0,4.0
CHEMBL1730401,Nc1cccc2c(O)cc(S(=O)(=O)O)cc12,inactive,239.25199999999998,1.3743,3.0,4.0,4.369165482171949
CHEMBL1440986,O=C(Nc1ccccc1C(=O)O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1,inactive,404.37800000000004,3.587600000000001,4.0,4.0,4.260427655549908
CHEMBL3194058,CCOc1cc(/C=N/NC2=NC(=O)C(CC(=O)O)S2)ccc1OCc1ccc(Cl)cc1,inactive,461.92700000000013,3.7139000000000024,2.0,7.0,4.319301970302365
CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,inactive,220.17999999999998,1.0223999999999998,4.0,5.0,4.913996294381618
CHEMBL1586109,COC(=O)c1ccc(N2NC(=O)/C(=C/c3cc(OC)c(OC)c(OC)c3)C2=O)cc1,inactive,412.3980000000002,1.9603999999999997,1.0,7.0,4.331334584545508
CHEMBL3194143,O=C(O)c1ccc(Cl)c(-c2ccc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)o2)c1,inactive,474.90000000000015,4.684400000000003,3.0,5.0,4.288024145648245
CHEMBL1318358,O=C(CN1C(=O)/C(=C2/SC(=S)N(CCS(=O)(=O)O)C2=O)c2ccccc21)Nc1cccc(C(F)(F)F)c1,inactive,571.5800000000003,3.1499000000000015,2.0,7.0,4.451856362565154
CHEMBL1373390,O=C(O)c1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,inactive,343.3380000000001,3.903800000000002,2.0,4.0,4.0
CHEMBL173530,COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,inactive,386.3120000000002,2.3163400000000007,2.0,9.0,4.147703034173075
CHEMBL1310601,CC(=C\c1ccccc1)/C=C1/SC(=S)N(C(C(=O)O)C(C)C)C1=O,inactive,361.4880000000001,3.9433000000000025,1.0,4.0,4.467372998771109
CHEMBL305978,c1coc(-c2nc3ccccc3nc2-c2ccco2)c1,inactive,262.268,4.149800000000003,0.0,4.0,4.0
CHEMBL1730252,Cc1cc(=O)c2c(o1)C(=O)c1occc1C2=O,inactive,230.17499999999998,1.31662,0.0,5.0,4.204885014369637
CHEMBL1492106,CC(C)OP(=O)(OC(C)C)C1(NS(=O)(=O)c2ccc(Cl)cc2)C=C(Cl)C(=O)C(Cl)=C1,inactive,516.7670000000002,5.185800000000004,1.0,6.0,4.003138231509326
CHEMBL1877709,O=C(O)c1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,inactive,438.4860000000001,3.816600000000002,2.0,6.0,4.235898623523771
CHEMBL1730100,O=C1C=CC2=C3c4cc(O)c(O)cc4CC3(O)COC2=C1O,inactive,300.266,1.0772999999999993,4.0,6.0,4.576426480267265
CHEMBL3195434,COc1c(OC(C)=O)ccc(/C=N\NC(=O)c2ccc(Br)cc2)c1[N+](=O)[O-],inactive,436.2180000000001,3.0551000000000013,1.0,7.0,4.015472686656207
CHEMBL1605379,CCc1ccc(N2C(=O)c3sc4nnc(-c5ccccc5)c(=O)n4c3C2=O)cc1,inactive,402.4350000000001,3.181000000000002,0.0,7.0,4.313989708684715
CHEMBL1440977,NNc1cc([N+](=O)[O-])cc2c1c(=O)n(Cc1ccccc1)[s+]2[O-],inactive,332.341,1.9712,2.0,7.0,4.198116292874761
CHEMBL1597427,CCOc1cc(CNc2ccc(N3CCCC3)cc2)cc(Cl)c1OC,inactive,360.8850000000001,4.9596000000000044,1.0,4.0,4.31695296176115
CHEMBL1430159,COc1ccc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1CO,inactive,428.52500000000026,3.4199000000000024,1.0,6.0,4.33913452199613
CHEMBL1508598,CCOc1cc(/C=C2\C(=O)ON=C2c2ccccc2)ccc1OC,inactive,323.34800000000007,3.4384000000000023,0.0,5.0,4.566710314804975
CHEMBL512216,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,inactive,271.276,0.9378999999999997,2.0,5.0,4.732828271596986
